target_id,company,domain,person_name,input_email,email_source_url,country,subscriber_type,discovery_channel,proof_url,acquisition_source_type,opt_in,marketing_permission,consent_event_id,consented_at,consent_text_version,inbound_event_id,inbound_at,can_spam_ready,privacy_notice_ready
aurelion,Aurelion Research,aurelionresearch.com,,,,,unknown,public_research,https://read.aurelionresearch.com/p/get-familiar-with-aurelion-research,official_company_website,false,unknown,,,,,,false,false
ai_weekly,AI Weekly,aiweekly.co,,,,,unknown,public_research,https://aiweekly.co/about,official_company_website,false,unknown,,,,,,false,false
applied_layer,The Applied Layer,appliedlayer-ai.com,,,,,unknown,public_research,https://appliedlayer-ai.com/contact,official_company_website,false,unknown,,,,,,false,false
